Label,URL,Status,Size_KB,Content_Type,JSON_Keys,Notes
gms.api.media.videos,https://gccgames.qa/api/method/gms.api.media.videos,417,,,,EXPECTATION FAILED
gms.api.media.highlights,https://gccgames.qa/api/method/gms.api.media.highlights,417,,,,EXPECTATION FAILED
gms.api.competition.detail?id,https://gccgames.qa/api/method/gms.api.competition.detail?id=COM-2026-0494,417,,,,EXPECTATION FAILED
gms.api.competition.get?id,https://gccgames.qa/api/method/gms.api.competition.get?id=COM-2026-0494,417,,,,EXPECTATION FAILED
gms.api.competition.competition?id,https://gccgames.qa/api/method/gms.api.competition.competition?id=COM-2026-0494,417,,,,EXPECTATION FAILED
gms.api.competition.participants?id,https://gccgames.qa/api/method/gms.api.competition.participants?id=COM-2026-0494,417,,,,EXPECTATION FAILED
gms.api.results.competition?id,https://gccgames.qa/api/method/gms.api.results.competition?id=COM-2026-0494,417,,,,EXPECTATION FAILED
gms.api.results.by_competition?id,https://gccgames.qa/api/method/gms.api.results.by_competition?id=COM-2026-0494,417,,,,EXPECTATION FAILED
gms.api.results.detail?id,https://gccgames.qa/api/method/gms.api.results.detail?id=COM-2026-0494,417,,,,EXPECTATION FAILED
gms.api.results.results_by_country?noc=KSA,https://gccgames.qa/api/method/gms.api.results.results_by_country?noc=KSA,417,,,,EXPECTATION FAILED
gms.api.athlete.detail?id,https://gccgames.qa/api/method/gms.api.athlete.detail?id=16657421,417,,,,EXPECTATION FAILED
gms.api.athlete.profile?id,https://gccgames.qa/api/method/gms.api.athlete.profile?id=16657421,417,,,,EXPECTATION FAILED
gms.api.athlete.bio?id,https://gccgames.qa/api/method/gms.api.athlete.bio?id=16657421,417,,,,EXPECTATION FAILED
gms.api.athlete.athletes_by_noc?noc=KSA,https://gccgames.qa/api/method/gms.api.athlete.athletes_by_noc?noc=KSA,417,,,,EXPECTATION FAILED
gms.api.athlete.athletes_by_sport?sport=Swimming,https://gccgames.qa/api/method/gms.api.athlete.athletes_by_sport?sport=Swimming,417,,,,EXPECTATION FAILED
gms.api.discipline.events?sport=Swimming,https://gccgames.qa/api/method/gms.api.discipline.events?sport=Swimming,417,,,,EXPECTATION FAILED
gms.api.discipline.by_sport?sport=Swimming,https://gccgames.qa/api/method/gms.api.discipline.by_sport?sport=Swimming,417,,,,EXPECTATION FAILED
gms.api.record.by_event,https://gccgames.qa/api/method/gms.api.record.by_event?event_id=COM-2026-0494,417,,,,EXPECTATION FAILED
gms.api.record.records,https://gccgames.qa/api/method/gms.api.record.records,417,,,,EXPECTATION FAILED
gms.api.noc.detail?noc=KSA,https://gccgames.qa/api/method/gms.api.noc.detail?noc=KSA,417,,,,EXPECTATION FAILED
gms.api.noc.summary?noc=KSA,https://gccgames.qa/api/method/gms.api.noc.summary?noc=KSA,417,,,,EXPECTATION FAILED
gms.api.noc.athletes?noc=KSA,https://gccgames.qa/api/method/gms.api.noc.athletes?noc=KSA,417,,,,EXPECTATION FAILED
gms.api.noc.roster?noc=KSA,https://gccgames.qa/api/method/gms.api.noc.roster?noc=KSA,417,,,,EXPECTATION FAILED
gms.api.country.athletes?noc=KSA,https://gccgames.qa/api/method/gms.api.country.athletes?noc=KSA,417,,,,EXPECTATION FAILED
gms.api.country.results?noc=KSA,https://gccgames.qa/api/method/gms.api.country.results?noc=KSA,417,,,,EXPECTATION FAILED
flag BRN,https://gccgames.qa/files/brn.png,200,7,image/png,,
flag BRN.svg,https://gccgames.qa/files/brn.svg,404,,,,NOT FOUND
flag KUW,https://gccgames.qa/files/kuw.png,200,5,image/png,,
flag KUW.svg,https://gccgames.qa/files/kuw.svg,404,,,,NOT FOUND
flag OMA,https://gccgames.qa/files/oma.png,404,,,,NOT FOUND
flag OMA.svg,https://gccgames.qa/files/oma.svg,404,,,,NOT FOUND
flag QAT,https://gccgames.qa/files/qat.png,404,,,,NOT FOUND
flag QAT.svg,https://gccgames.qa/files/qat.svg,404,,,,NOT FOUND
flag KSA,https://gccgames.qa/files/ksa.png,200,22,image/png,,
flag KSA.svg,https://gccgames.qa/files/ksa.svg,404,,,,NOT FOUND
flag UAE,https://gccgames.qa/files/uae.png,200,3,image/png,,
flag UAE.svg,https://gccgames.qa/files/uae.svg,404,,,,NOT FOUND
pictogram Archery,https://gccgames.qa/files/archery.svg,200,0,image/svg+xml,,
pictogram Athletics,https://gccgames.qa/files/athletics.svg,200,1,image/svg+xml,,
pictogram Basketball 3x3,https://gccgames.qa/files/basketball3x3.svg,404,,,,NOT FOUND
pictogram Basketball 5x5,https://gccgames.qa/files/basketball5x5.svg,404,,,,NOT FOUND
pictogram Billiards,https://gccgames.qa/files/billiards.svg,404,,,,NOT FOUND
pictogram Bowling,https://gccgames.qa/files/bowling.svg,404,,,,NOT FOUND
pictogram Boxing,https://gccgames.qa/files/boxing.svg,200,1,image/svg+xml,,
pictogram Equestrian,https://gccgames.qa/files/equestrian.svg,404,,,,NOT FOUND
pictogram Fencing,https://gccgames.qa/files/fencing.svg,200,1,image/svg+xml,,
pictogram Handball,https://gccgames.qa/files/handball.svg,200,1,image/svg+xml,,
pictogram Karate,https://gccgames.qa/files/karate.svg,200,2,image/svg+xml,,
pictogram Padel,https://gccgames.qa/files/padel.svg,200,22,image/svg+xml,,
pictogram Shooting,https://gccgames.qa/files/shooting.svg,200,0,image/svg+xml,,
pictogram Snooker,https://gccgames.qa/files/snooker.svg,404,,,,NOT FOUND
pictogram Swimming,https://gccgames.qa/files/swimming.svg,200,1,image/svg+xml,,
pictogram Table Tennis,https://gccgames.qa/files/tabletennis.svg,404,,,,NOT FOUND
pictogram Taekwondo,https://gccgames.qa/files/taekwondo.svg,404,,,,NOT FOUND
pictogram Volleyball,https://gccgames.qa/files/volleyball.svg,200,1,image/svg+xml,,
event logo png,https://gccgames.qa/files/event-logo.png,404,,,,NOT FOUND
event logo svg,https://gccgames.qa/files/event-logo.svg,404,,,,NOT FOUND
