Date,Time,Time_End,Duration_Min,Sport,Discipline,Discipline_AR,Phase,Gender,Venue,Country_Entries,Event_ID,Source_URL
2026-05-15,19:45:00,20:25:00,40,Athletics,Women’s 4x100 Metres Relay,4×100 متر تتابع سيدات,Final,Women,Qatar Sports Club,,COM-2026-0056,https://gccgames.qa/frontend/schedule-competition
2026-05-16,9:00:00,17:00:00,480,Athletics,Men’s Decathlon,العشاري رجال,Final,Men,Qatar Sports Club,,COM-2026-0057,https://gccgames.qa/frontend/schedule-competition
2026-05-16,9:30:00,17:30:00,480,Athletics,Men’s Decathlon,العشاري رجال,Final,Men,Qatar Sports Club,,COM-2026-0058,https://gccgames.qa/frontend/schedule-competition
2026-05-16,10:45:00,18:45:00,480,Athletics,Men’s Decathlon,العشاري رجال,Final,Men,Qatar Sports Club,,COM-2026-0059,https://gccgames.qa/frontend/schedule-competition
2026-05-16,17:00:00,01:00:00,480,Athletics,Men’s Decathlon,العشاري رجال,Final,Men,Qatar Sports Club,,COM-2026-0060,https://gccgames.qa/frontend/schedule-competition
2026-05-16,17:05:00,18:35:00,90,Athletics,Women’s Triple Jump,الوثب الثلاثي سيدات,Final,Women,Qatar Sports Club,,COM-2026-0061,https://gccgames.qa/frontend/schedule-competition
2026-05-16,17:10:00,18:50:00,100,Athletics,Men’s Hammer Throw,إطاحة المطرقة رجال,Final,Men,Qatar Sports Club,,COM-2026-0062,https://gccgames.qa/frontend/schedule-competition
2026-05-16,17:15:00,18:51:00,96,Athletics,Men’s 400 Metres Hurdles,400 متر حواجز رجال,Final,Men,Qatar Sports Club,,COM-2026-0063,https://gccgames.qa/frontend/schedule-competition
2026-05-16,17:30:00,19:06:00,96,Athletics,Women’s 400 Metres Hurdles,400 متر حواجز سيدات,Final,Women,Qatar Sports Club,,COM-2026-0064,https://gccgames.qa/frontend/schedule-competition
2026-05-16,17:40:00,19:40:00,120,Athletics,Men’s 200 Metres,200 متر رجال,Qualification,Men,Qatar Sports Club,,COM-2026-0065,https://gccgames.qa/frontend/schedule-competition
2026-05-16,18:00:00,20:00:00,120,Athletics,Women’s 200 Metres,200 متر سيدات,Qualification,Women,Qatar Sports Club,,COM-2026-0066,https://gccgames.qa/frontend/schedule-competition
2026-05-16,18:15:00,18:40:00,25,Athletics,Women’s 5000m Race Walk,5000 متر مشي سيدات,Final,Women,Qatar Sports Club,,COM-2026-0067,https://gccgames.qa/frontend/schedule-competition
2026-05-16,18:30:00,02:30:00,480,Athletics,Men’s Decathlon,العشاري رجال,Final,Men,Qatar Sports Club,,COM-2026-0068,https://gccgames.qa/frontend/schedule-competition
2026-05-16,18:45:00,19:05:00,20,Athletics,Women’s 3000m Steeplechase,3000 متر موانع سيدات,Final,Women,Qatar Sports Club,,COM-2026-0069,https://gccgames.qa/frontend/schedule-competition
2026-05-16,18:50:00,20:20:00,90,Athletics,Men’s Triple Jump,الوثب الثلاثي رجال,Final,Men,Qatar Sports Club,,COM-2026-0070,https://gccgames.qa/frontend/schedule-competition
2026-05-16,18:55:00,20:25:00,90,Athletics,Women’s Javelin Throw,رمي الرمح سيدات,Final,Women,Qatar Sports Club,,COM-2026-0071,https://gccgames.qa/frontend/schedule-competition
2026-05-16,19:10:00,19:50:00,40,Athletics,Mixed 4x400 Metres Relay,4×400 متر تتابع مختلط,Final,Mixed,Qatar Sports Club,,COM-2026-0072,https://gccgames.qa/frontend/schedule-competition
2026-05-17,9:00:00,17:00:00,480,Athletics,Men’s Decathlon,العشاري رجال,Final,Men,Qatar Sports Club,,COM-2026-0073,https://gccgames.qa/frontend/schedule-competition
2026-05-17,9:45:00,17:45:00,480,Athletics,Men’s Decathlon,العشاري رجال,Final,Men,Qatar Sports Club,,COM-2026-0074,https://gccgames.qa/frontend/schedule-competition
2026-05-17,11:30:00,19:30:00,480,Athletics,Men’s Decathlon,العشاري رجال,Final,Men,Qatar Sports Club,,COM-2026-0075,https://gccgames.qa/frontend/schedule-competition
2026-05-17,17:00:00,01:00:00,480,Athletics,Men’s Decathlon,العشاري رجال,Final,Men,Qatar Sports Club,,COM-2026-0076,https://gccgames.qa/frontend/schedule-competition
2026-05-17,17:05:00,19:05:00,120,Athletics,Women’s High Jump,الوثب العالي سيدات,Final,Women,Qatar Sports Club,,COM-2026-0077,https://gccgames.qa/frontend/schedule-competition
2026-05-17,17:15:00,18:51:00,96,Athletics,Men’s 200 Metres,200 متر رجال,Final,Men,Qatar Sports Club,,COM-2026-0078,https://gccgames.qa/frontend/schedule-competition
2026-05-17,17:20:00,18:50:00,90,Athletics,Women’s Shot Put,دفع الجلة سيدات,Final,Women,Qatar Sports Club,,COM-2026-0079,https://gccgames.qa/frontend/schedule-competition
2026-05-17,17:30:00,19:06:00,96,Athletics,Women’s 200 Metres,200 متر سيدات,Final,Women,Qatar Sports Club,,COM-2026-0080,https://gccgames.qa/frontend/schedule-competition
2026-05-17,17:40:00,18:05:00,25,Athletics,Men’s 5000 Metres,5000 متر رجال,Final,Men,Qatar Sports Club,,COM-2026-0081,https://gccgames.qa/frontend/schedule-competition
2026-05-17,18:05:00,19:41:00,96,Athletics,Women’s 1500 Metres,1500 متر سيدات,Final,Women,Qatar Sports Club,,COM-2026-0082,https://gccgames.qa/frontend/schedule-competition
2026-05-17,18:20:00,19:56:00,96,Athletics,Men’s 1500 Metres,1500 متر رجال,Final,Men,Qatar Sports Club,,COM-2026-0083,https://gccgames.qa/frontend/schedule-competition
2026-05-17,18:25:00,19:55:00,90,Athletics,Men’s Discus Throw,قذف القرص رجال,Final,Men,Qatar Sports Club,,COM-2026-0084,https://gccgames.qa/frontend/schedule-competition
2026-05-17,18:30:00,02:30:00,480,Athletics,Men’s Decathlon,العشاري رجال,Final,Men,Qatar Sports Club,,COM-2026-0085,https://gccgames.qa/frontend/schedule-competition
2026-05-17,18:45:00,19:25:00,40,Athletics,Women’s 4x400 Metres Relay,4×400 متر تتابع سيدات,Final,Women,Qatar Sports Club,,COM-2026-0086,https://gccgames.qa/frontend/schedule-competition
2026-05-17,19:05:00,19:45:00,40,Athletics,Men’s 4x400 Metres Relay,4×400 متر تتابع رجال,Final,Men,Qatar Sports Club,,COM-2026-0087,https://gccgames.qa/frontend/schedule-competition
2026-05-12,14:30:00,15:10:00,40,Basketball 3x3,Women’s Pool A Game,سيدات - مباراة المجموعة A,Pool A,Women,Gharafa Sports Hall,"OMA,QAT",COM-2026-0470,https://gccgames.qa/frontend/schedule-competition
2026-05-12,14:55:00,15:35:00,40,Basketball 3x3,Women’s Pool B Game,سيدات - مباراة المجموعة B,Pool B,Women,Gharafa Sports Hall,"KSA,UAE",COM-2026-0471,https://gccgames.qa/frontend/schedule-competition
2026-05-12,15:20:00,16:00:00,40,Basketball 3x3,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,Gharafa Sports Hall,"KSA,KUW",COM-2026-0472,https://gccgames.qa/frontend/schedule-competition
2026-05-12,15:45:00,16:25:00,40,Basketball 3x3,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,Gharafa Sports Hall,"QAT,UAE",COM-2026-0473,https://gccgames.qa/frontend/schedule-competition
2026-05-12,16:10:00,16:50:00,40,Basketball 3x3,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,Gharafa Sports Hall,"BRN,KSA",COM-2026-0474,https://gccgames.qa/frontend/schedule-competition
2026-05-12,16:35:00,17:15:00,40,Basketball 3x3,Women’s Pool A Game,سيدات - مباراة المجموعة A,Pool A,Women,Gharafa Sports Hall,"KUW,OMA",COM-2026-0475,https://gccgames.qa/frontend/schedule-competition
2026-05-12,17:00:00,17:40:00,40,Basketball 3x3,Women’s Pool A Game,سيدات - مباراة المجموعة A,Pool A,Women,Gharafa Sports Hall,"KUW,QAT",COM-2026-0476,https://gccgames.qa/frontend/schedule-competition
2026-05-12,17:25:00,18:05:00,40,Basketball 3x3,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,Gharafa Sports Hall,"BRN,KUW",COM-2026-0477,https://gccgames.qa/frontend/schedule-competition
2026-05-12,17:50:00,18:30:00,40,Basketball 3x3,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,Gharafa Sports Hall,"KSA,UAE",COM-2026-0478,https://gccgames.qa/frontend/schedule-competition
2026-05-12,18:15:00,18:55:00,40,Basketball 3x3,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,Gharafa Sports Hall,"BRN,QAT",COM-2026-0479,https://gccgames.qa/frontend/schedule-competition
2026-05-12,18:40:00,19:20:00,40,Basketball 3x3,Women’s Pool B Game,سيدات - مباراة المجموعة B,Pool B,Women,Gharafa Sports Hall,"BRN,UAE",COM-2026-0480,https://gccgames.qa/frontend/schedule-competition
2026-05-12,19:05:00,19:45:00,40,Basketball 3x3,Women’s Pool B Game,سيدات - مباراة المجموعة B,Pool B,Women,Gharafa Sports Hall,"BRN,KSA",COM-2026-0481,https://gccgames.qa/frontend/schedule-competition
2026-05-12,19:30:00,20:10:00,40,Basketball 3x3,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,Gharafa Sports Hall,"KUW,QAT",COM-2026-0482,https://gccgames.qa/frontend/schedule-competition
2026-05-13,15:00:00,15:40:00,40,Basketball 3x3,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,Gharafa Sports Hall,"KUW,UAE",COM-2026-0483,https://gccgames.qa/frontend/schedule-competition
2026-05-13,15:25:00,16:05:00,40,Basketball 3x3,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,Gharafa Sports Hall,"KSA,QAT",COM-2026-0484,https://gccgames.qa/frontend/schedule-competition
2026-05-13,15:50:00,16:30:00,40,Basketball 3x3,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,Gharafa Sports Hall,"BRN,UAE",COM-2026-0485,https://gccgames.qa/frontend/schedule-competition
2026-05-13,16:15:00,16:55:00,40,Basketball 3x3,Women’s Semi-Final,سيدات - نصف النهائي,Semi-Final,Women,Gharafa Sports Hall,,COM-2026-0486,https://gccgames.qa/frontend/schedule-competition
2026-05-13,16:40:00,17:20:00,40,Basketball 3x3,Women’s Semi-Final,سيدات - نصف النهائي,Semi-Final,Women,Gharafa Sports Hall,,COM-2026-0487,https://gccgames.qa/frontend/schedule-competition
2026-05-13,17:05:00,17:45:00,40,Basketball 3x3,Men’s Semi-Final,رجال - نصف النهائي,Semi-Final,Men,Gharafa Sports Hall,,COM-2026-0488,https://gccgames.qa/frontend/schedule-competition
2026-05-13,17:30:00,18:10:00,40,Basketball 3x3,Men’s Semi-Final,رجال - نصف النهائي,Semi-Final,Men,Gharafa Sports Hall,,COM-2026-0489,https://gccgames.qa/frontend/schedule-competition
