Date,Time,Sport,Discipline,Discipline_AR,Phase,Gender,Venue,Country_Entries,Event_ID,Source_URL
2026-05-16,17:10:00,Athletics,Men’s Hammer Throw,إطاحة المطرقة رجال,Final,Men,Qatar Sports Club,,COM-2026-0062,https://gccgames.qa/frontend/schedule-competition
2026-05-16,17:15:00,Athletics,Men’s 400 Metres Hurdles,400 متر حواجز رجال,Final,Men,Qatar Sports Club,,COM-2026-0063,https://gccgames.qa/frontend/schedule-competition
2026-05-16,17:30:00,Athletics,Women’s 400 Metres Hurdles,400 متر حواجز سيدات,Final,Women,Qatar Sports Club,,COM-2026-0064,https://gccgames.qa/frontend/schedule-competition
2026-05-16,17:40:00,Athletics,Men’s 200 Metres,200 متر رجال,Qualification,Men,Qatar Sports Club,,COM-2026-0065,https://gccgames.qa/frontend/schedule-competition
2026-05-16,18:00:00,Athletics,Women’s 200 Metres,200 متر سيدات,Qualification,Women,Qatar Sports Club,,COM-2026-0066,https://gccgames.qa/frontend/schedule-competition
2026-05-16,18:15:00,Athletics,Women’s 5000m Race Walk,5000 متر مشي سيدات,Final,Women,Qatar Sports Club,,COM-2026-0067,https://gccgames.qa/frontend/schedule-competition
2026-05-16,18:30:00,Athletics,Men’s Decathlon,العشاري رجال,Final,Men,Qatar Sports Club,,COM-2026-0068,https://gccgames.qa/frontend/schedule-competition
2026-05-16,18:45:00,Athletics,Women’s 3000m Steeplechase,3000 متر موانع سيدات,Final,Women,Qatar Sports Club,,COM-2026-0069,https://gccgames.qa/frontend/schedule-competition
2026-05-16,18:50:00,Athletics,Men’s Triple Jump,الوثب الثلاثي رجال,Final,Men,Qatar Sports Club,,COM-2026-0070,https://gccgames.qa/frontend/schedule-competition
2026-05-16,18:55:00,Athletics,Women’s Javelin Throw,رمي الرمح سيدات,Final,Women,Qatar Sports Club,,COM-2026-0071,https://gccgames.qa/frontend/schedule-competition
2026-05-16,19:10:00,Athletics,Mixed 4x400 Metres Relay,4×400 متر تتابع مختلط,Final,Mixed,Qatar Sports Club,,COM-2026-0072,https://gccgames.qa/frontend/schedule-competition
2026-05-17,9:00:00,Athletics,Men’s Decathlon,العشاري رجال,Final,Men,Qatar Sports Club,,COM-2026-0073,https://gccgames.qa/frontend/schedule-competition
2026-05-17,9:45:00,Athletics,Men’s Decathlon,العشاري رجال,Final,Men,Qatar Sports Club,,COM-2026-0074,https://gccgames.qa/frontend/schedule-competition
2026-05-17,11:30:00,Athletics,Men’s Decathlon,العشاري رجال,Final,Men,Qatar Sports Club,,COM-2026-0075,https://gccgames.qa/frontend/schedule-competition
2026-05-17,17:00:00,Athletics,Men’s Decathlon,العشاري رجال,Final,Men,Qatar Sports Club,,COM-2026-0076,https://gccgames.qa/frontend/schedule-competition
2026-05-17,17:05:00,Athletics,Women’s High Jump,الوثب العالي سيدات,Final,Women,Qatar Sports Club,,COM-2026-0077,https://gccgames.qa/frontend/schedule-competition
2026-05-17,17:15:00,Athletics,Men’s 200 Metres,200 متر رجال,Final,Men,Qatar Sports Club,,COM-2026-0078,https://gccgames.qa/frontend/schedule-competition
2026-05-17,17:20:00,Athletics,Women’s Shot Put,دفع الجلة سيدات,Final,Women,Qatar Sports Club,,COM-2026-0079,https://gccgames.qa/frontend/schedule-competition
2026-05-17,17:30:00,Athletics,Women’s 200 Metres,200 متر سيدات,Final,Women,Qatar Sports Club,,COM-2026-0080,https://gccgames.qa/frontend/schedule-competition
2026-05-17,17:40:00,Athletics,Men’s 5000 Metres,5000 متر رجال,Final,Men,Qatar Sports Club,,COM-2026-0081,https://gccgames.qa/frontend/schedule-competition
2026-05-17,18:05:00,Athletics,Women’s 1500 Metres,1500 متر سيدات,Final,Women,Qatar Sports Club,,COM-2026-0082,https://gccgames.qa/frontend/schedule-competition
2026-05-17,18:20:00,Athletics,Men’s 1500 Metres,1500 متر رجال,Final,Men,Qatar Sports Club,,COM-2026-0083,https://gccgames.qa/frontend/schedule-competition
2026-05-17,18:25:00,Athletics,Men’s Discus Throw,قذف القرص رجال,Final,Men,Qatar Sports Club,,COM-2026-0084,https://gccgames.qa/frontend/schedule-competition
2026-05-17,18:30:00,Athletics,Men’s Decathlon,العشاري رجال,Final,Men,Qatar Sports Club,,COM-2026-0085,https://gccgames.qa/frontend/schedule-competition
2026-05-17,18:45:00,Athletics,Women’s 4x400 Metres Relay,4×400 متر تتابع سيدات,Final,Women,Qatar Sports Club,,COM-2026-0086,https://gccgames.qa/frontend/schedule-competition
2026-05-17,19:05:00,Athletics,Men’s 4x400 Metres Relay,4×400 متر تتابع رجال,Final,Men,Qatar Sports Club,,COM-2026-0087,https://gccgames.qa/frontend/schedule-competition
2026-05-12,11:00:00,Basketball 3x3,Women’s Preliminary,Match 1 - سيدات تمهيدي - المباراة 1,Qualification,Women,Al Gharafa Sports Hall,"KSA,OMA",COM-2026-0120,https://gccgames.qa/frontend/schedule-competition
2026-05-12,11:25:00,Basketball 3x3,Women’s Preliminary,Match 2 - سيدات تمهيدي - المباراة 2,Qualification,Women,Al Gharafa Sports Hall,"BRN,KUW",COM-2026-0121,https://gccgames.qa/frontend/schedule-competition
