Date,Time,Time_End,Duration_Min,Sport,Discipline,Discipline_AR,Phase,Status,Gender,Venue,Country_Entries,Event_ID,Source_URL
2026-05-17,9:30:00,10:15:00,45,Athletics,Men’s Pole Vault,القفز بالزانة رجال,Decathlon,Scheduled,Men,Qatar Sports Club,"KSA,KUW",COM-2026-0756,https://gccgames.qa/frontend/schedule-competition
2026-05-17,18:30:00,19:15:00,45,Athletics,Men’s Javelin Throw,رمي الرمح رجال,Decathlon,Scheduled,Men,Qatar Sports Club,"KSA,KUW",COM-2026-0757,https://gccgames.qa/frontend/schedule-competition
2026-05-17,18:35:00,20:35:00,120,Athletics,Women’s High Jump,الوثب العالي سيدات,Final,Scheduled,Women,Qatar Sports Club,"OMA,QAT",COM-2026-0758,https://gccgames.qa/frontend/schedule-competition
2026-05-17,18:40:00,20:16:00,96,Athletics,Women’s 200 Metres,200 متر سيدات,Final,Scheduled,Women,Qatar Sports Club,"BRN,KSA,OMA,QAT,UAE",COM-2026-0759,https://gccgames.qa/frontend/schedule-competition
2026-05-17,18:45:00,20:15:00,90,Athletics,Women’s Shot Put,دفع الجلة سيدات,Final,Scheduled,Women,Qatar Sports Club,"BRN,KUW,UAE",COM-2026-0760,https://gccgames.qa/frontend/schedule-competition
2026-05-17,18:50:00,20:26:00,96,Athletics,Men’s 200 Metres,200 متر رجال,Final,Scheduled,Men,Qatar Sports Club,,COM-2026-0761,https://gccgames.qa/frontend/schedule-competition
2026-05-17,19:00:00,19:25:00,25,Athletics,Men’s 5000 Metres,5000 متر رجال,Final,Scheduled,Men,Qatar Sports Club,"BRN,UAE",COM-2026-0762,https://gccgames.qa/frontend/schedule-competition
2026-05-17,19:20:00,20:50:00,90,Athletics,Men’s Discus Throw,رمي القرص رجال,Final,Scheduled,Men,Qatar Sports Club,"KSA,KUW,QAT",COM-2026-0763,https://gccgames.qa/frontend/schedule-competition
2026-05-17,19:25:00,21:01:00,96,Athletics,Women’s 1500 Metres,1500 متر سيدات,Final,Scheduled,Women,Qatar Sports Club,"BRN,KUW,QAT,UAE",COM-2026-0764,https://gccgames.qa/frontend/schedule-competition
2026-05-17,19:40:00,21:16:00,96,Athletics,Men’s 1500 Metres,1500 متر رجال,Final,Scheduled,Men,Qatar Sports Club,"BRN,KSA,KUW,QAT,UAE",COM-2026-0765,https://gccgames.qa/frontend/schedule-competition
2026-05-17,19:55:00,20:40:00,45,Athletics,Men’s 1500 Metres,1500 متر رجال,Decathlon,Scheduled,Men,Qatar Sports Club,"KSA,KUW",COM-2026-0766,https://gccgames.qa/frontend/schedule-competition
2026-05-17,20:10:00,20:50:00,40,Athletics,Women’s 4x400 Metres Relay,4×400 متر تتابع سيدات,Final,Scheduled,Women,Qatar Sports Club,"BRN,QAT,UAE",COM-2026-0767,https://gccgames.qa/frontend/schedule-competition
2026-05-17,20:25:00,21:05:00,40,Athletics,Men’s 4x400 Metres Relay,4×400 متر تتابع رجال,Final,Scheduled,Men,Qatar Sports Club,"QAT,UAE",COM-2026-0768,https://gccgames.qa/frontend/schedule-competition
2026-05-12,14:30:00,15:10:00,40,Basketball 3x3,Women’s Pool A Game 1,سيدات - مباراة المجموعة A,Pool A,Official,Women,Gharafa Sports Hall,"OMA,QAT",COM-2026-0470,https://gccgames.qa/frontend/schedule-competition
2026-05-12,14:55:00,15:35:00,40,Basketball 3x3,Women’s Pool B Game 1,سيدات - مباراة المجموعة B المباراة 1,Pool B,Official,Women,Gharafa Sports Hall,"KSA,UAE",COM-2026-0471,https://gccgames.qa/frontend/schedule-competition
2026-05-12,15:20:00,16:00:00,40,Basketball 3x3,Men’s Pool A Game 2,رجال - مباراة المجموعة A المباراة 2,Pool A,Official,Men,Gharafa Sports Hall,"KSA,KUW",COM-2026-0472,https://gccgames.qa/frontend/schedule-competition
2026-05-12,15:45:00,16:25:00,40,Basketball 3x3,Men’s Pool A Game 1,رجال - مباراة المجموعة A المباراة 1,Pool A,Official,Men,Gharafa Sports Hall,"QAT,UAE",COM-2026-0473,https://gccgames.qa/frontend/schedule-competition
2026-05-12,16:10:00,16:50:00,40,Basketball 3x3,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Official,Men,Gharafa Sports Hall,"BRN,KSA",COM-2026-0474,https://gccgames.qa/frontend/schedule-competition
2026-05-12,16:35:00,17:15:00,40,Basketball 3x3,Women’s Pool A Game 2,سيدات - مباراة المجموعة A المباراة 2,Pool A,Official,Women,Gharafa Sports Hall,"KUW,OMA",COM-2026-0475,https://gccgames.qa/frontend/schedule-competition
2026-05-12,17:00:00,17:40:00,40,Basketball 3x3,Women’s Pool B Game 2,سيدات - مباراة المجموعة B مباراة 2,Pool B,Official,Women,Gharafa Sports Hall,"BRN,UAE",COM-2026-0480,https://gccgames.qa/frontend/schedule-competition
2026-05-12,17:25:00,18:05:00,40,Basketball 3x3,Men’s Pool A Game 7,رجال - مباراة المجموعة A المباراة 7,Pool A,Official,Men,Gharafa Sports Hall,"BRN,KUW",COM-2026-0477,https://gccgames.qa/frontend/schedule-competition
2026-05-12,17:50:00,18:30:00,40,Basketball 3x3,Men’s Pool A Game 3,رجال - مباراة المجموعة A المباراة 3,Pool A,Official,Men,Gharafa Sports Hall,"KSA,UAE",COM-2026-0478,https://gccgames.qa/frontend/schedule-competition
2026-05-12,18:15:00,18:55:00,40,Basketball 3x3,Men’s Pool A Game 4,رجال - مباراة المجموعة A المباراة 4,Pool A,Official,Men,Gharafa Sports Hall,"BRN,QAT",COM-2026-0479,https://gccgames.qa/frontend/schedule-competition
2026-05-12,18:40:00,19:20:00,40,Basketball 3x3,Women’s Pool A Game 3,سيدات - مباراة المجموعة A المباراة 3,Pool A,Official,Women,Gharafa Sports Hall,"KUW,QAT",COM-2026-0476,https://gccgames.qa/frontend/schedule-competition
2026-05-12,19:05:00,19:45:00,40,Basketball 3x3,Women’s Pool B Game 3,سيدات - مباراة المجموعة B المباراة 3,Pool B,Official,Women,Gharafa Sports Hall,"BRN,KSA",COM-2026-0481,https://gccgames.qa/frontend/schedule-competition
2026-05-12,19:30:00,20:10:00,40,Basketball 3x3,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Official,Men,Gharafa Sports Hall,"KUW,QAT",COM-2026-0482,https://gccgames.qa/frontend/schedule-competition
2026-05-13,15:00:00,15:40:00,40,Basketball 3x3,Men’s Pool A Game 6,رجال - مباراة المجموعة A المباراة 6,Pool A,Official,Men,Gharafa Sports Hall,"KUW,UAE",COM-2026-0483,https://gccgames.qa/frontend/schedule-competition
2026-05-13,15:25:00,16:05:00,40,Basketball 3x3,Men’s Pool A Game 8,رجال - مباراة المجموعة A المباراة 8,Pool A,Official,Men,Gharafa Sports Hall,"KSA,QAT",COM-2026-0484,https://gccgames.qa/frontend/schedule-competition
