Athlete,Sport,Date,Competition,Comp Set,Class,Discipline,Discipline_AR,Phase,Gender,Age,Rank,Result,Medal,Wind,Attempt,Lane_Heat,Reaction_Time,Split_Times,Status,Country,Detection_Method,Source_URL
Mohammed Alzaki,Swimming,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Boys 100m Freestyle Heat 1,سباحة 100م حرة بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0501
Ali Alessa,Swimming,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Boys 200m Backstroke Heat 1,سباحة 200م ظهر بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0502
Ali Alabdlwahab,Swimming,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Boys 200m Backstroke Heat 1,سباحة 200م ظهر بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0502
Saudi Arabia (Team),Swimming,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Boys 400m Freestyle Relay Heat 1,تتابع 400م حرة بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0503
Ahmed  Almueibid,Swimming,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Boys 400m Individual Medley Heat 1,سباحة 400م متنوع بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0504
Emad  Alsibiani,Swimming,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Boys 100m Breaststroke Heat 1,سباحة 100م صدر بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0505
Fahad Alawiglah,Swimming,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Boys 100m Breaststroke Heat 1,سباحة 100م صدر بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0505
Mohammed Alzaki,Swimming,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Boys 200m Freestyle Heat 1,سباحة 200م حرة بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0506
Ghanem Alsulhi,Swimming,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Boys 200m Freestyle Heat 1,سباحة 200م حرة بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0506
Mohammed Alotaibi,Swimming,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Boys 50m Butterfly Heat 2,سباحة 50م فراشة بنين - الجولة 2,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0508
Emad Addin  Zaben,Swimming,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Boys 50m Butterfly Heat 2,سباحة 50م فراشة بنين - الجولة 2,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0508
Saudi Arabia (Team),Swimming,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Boys 800m Freestyle Relay Heat 1,تتابع 800م حرة بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0509
Ghanem Alsulhi,Swimming,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Boys 1500m Freestyle Heat 1,سباحة 1500م حرة بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0510
Ahmed  Almueibid,Swimming,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Boys 1500m Freestyle Heat 1,سباحة 1500م حرة بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0510
Ali Alessa,Swimming,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Boys 50m Backstroke Heat 1,سباحة 50م ظهر بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0511
Ali Alabdlwahab,Swimming,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Boys 50m Backstroke Heat 1,سباحة 50م ظهر بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0511
Mohammed Alotaibi,Swimming,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Boys 100m Butterfly Heat 1,سباحة 100م فراشة بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0512
