Athlete_Name_Lower,Original_Name,Age,Gender,ISG_Sports,ISG_Medal_G,ISG_Medal_S,ISG_Medal_B,ISG_Medal_Events
furaij hussien,Hussien Furaij,21,Men,Handball,0,1,0,Handball:Handball Men(S)
gad hossam,gad hossam,,,,0,1,0,Handball:Handball Men(S)
ghali zakaria,Zakaria Ghali,28,Men,Taekwondo,0,0,0,
haidr salamh,HAIDR SALAMH,22,Men,Athletics / Para Athletics,0,0,0,
hamdi riad,Riad Hamdi,21,Men,Taekwondo,0,0,0,
hamedi tareg,Tareg Hamedi,27,Men,Taekwondo,0,0,0,
hazazi khalid,Khalid HAZAZI,29,Men,Athletics / Para Athletics,0,0,0,
hibah mohammed,Hibah MOHAMMED,24,Women,Athletics / Para Athletics,0,0,0,
huda omar,Huda Omar,28,Women,Athletics / Para Athletics,0,0,0,
ibrahim sharhili,Sharhili Ibrahim,21,Men,Judo,0,0,0,
iibrahim majrashi,Iibrahim Majrashi,36,Men,Volleyball,0,0,0,
jandu munthir,Munthir Jandu,21,Men,Wrestling,0,0,0,
kawther khayyat,Kawther Khayyat,29,Women,3x3 Basketball,0,0,0,
mazyu naif,Naif Mazyu,39,Men,Judo,0,0,0,
mohamed mohamed,Mohamed Mohamed,23,Men,Volleyball,0,0,0,
mohamed mustafa nada,Mustafa Mohamed Nada,37,Men,Wushu,0,0,0,
mohammed tolu,Mohammed TOLU,24,Men,Athletics / Para Athletics,0,0,0,
nada omar,Omar Nada,21,Men,Jiu Jitsu,1,0,0,Jiu Jitsu:Men -94 kg(G)
saleh usaamah,Usaamah Saleh,23,Men,Jiu Jitsu,0,0,1,Jiu Jitsu:Men -77 kg(B)
sanad sufyani,sanad sufyani,,,,1,0,0,Karate:Men +84 kg(G)
